,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval0,PromoInterval1,PromoInterval2,PromoInterval3
307,308,0,0,1070,12,2006,1,13,2010,1,4,7,10
308,309,3,0,8740,1,1990,1,37,2009,2,5,8,11
309,310,0,2,2290,1,1990,1,10,2014,3,6,9,12
310,311,0,2,680,7,2005,0,0,0,0,0,0,0
311,312,3,0,11300,3,2012,0,0,0,0,0,0,0
312,313,3,2,14160,1,1990,0,0,0,0,0,0,0
313,314,0,0,3560,10,2001,1,31,2013,2,5,8,11
314,315,0,2,38710,4,2013,0,0,0,0,0,0,0
315,316,3,0,9000,8,2001,0,0,0,0,0,0,0
316,317,3,0,3140,7,2013,1,14,2011,1,4,7,10
317,318,3,2,32330,3,2014,0,0,0,0,0,0,0
318,319,0,2,570,9,2012,1,27,2012,3,6,9,12
319,320,0,2,210,9,2012,0,0,0,0,0,0,0
320,321,2,2,8140,11,2013,1,10,2014,3,6,9,12
321,322,0,0,17500,4,2001,1,37,2009,1,4,7,10
322,323,3,2,8400,4,2012,1,5,2013,2,5,8,11
323,324,0,0,13140,1,1990,1,14,2011,1,4,7,10
324,325,0,2,350,3,2011,1,22,2011,2,5,8,11
325,326,3,0,10070,5,2015,1,31,2013,2,5,8,11
326,327,2,2,1390,12,2004,0,0,0,0,0,0,0
327,328,0,0,3130,7,2002,0,0,0,0,0,0,0
328,329,0,0,1310,6,1990,1,22,2012,3,6,9,12
329,330,0,2,370,1,1990,1,22,2012,3,6,9,12
330,331,0,2,670,1,1990,1,14,2015,1,4,7,10
331,332,0,0,1840,3,2006,0,0,0,0,0,0,0
332,333,0,2,3720,2,2010,0,0,0,0,0,0,0
333,334,3,2,4040,8,2008,1,18,2013,3,6,9,12
334,335,1,0,90,1,1990,1,31,2013,1,4,7,10
335,336,0,0,190,7,2014,0,0,0,0,0,0,0
336,337,3,2,10600,7,2005,1,45,2014,2,5,8,11
337,338,0,2,1590,1,1990,1,37,2009,1,4,7,10
338,339,0,2,2280,1,1990,1,10,2013,3,6,9,12
339,340,0,2,8080,1,1990,0,0,0,0,0,0,0
340,341,0,0,190,9,2011,0,0,0,0,0,0,0
341,342,3,2,15770,1,1990,1,40,2014,1,4,7,10
342,343,3,0,18650,4,2004,1,14,2014,1,4,7,10
343,344,0,2,300,4,2011,1,14,2011,1,4,7,10
344,345,0,0,120,1,1990,1,22,2012,1,4,7,10
345,346,0,2,8090,1,1990,0,0,0,0,0,0,0
346,347,3,2,9360,7,2013,1,22,2012,3,6,9,12
347,348,0,0,16490,1,1990,1,22,2012,1,4,7,10
348,349,2,2,1490,4,2009,0,0,0,0,0,0,0
349,350,3,0,8880,1,1990,1,14,2011,1,4,7,10
350,351,0,0,5290,11,2012,1,5,2013,2,5,8,11
351,352,3,2,6360,1,1990,1,40,2012,3,6,9,12
352,353,1,1,900,1,1990,1,14,2013,2,5,8,11
353,354,3,2,1500,10,2005,0,0,0,0,0,0,0
354,355,0,2,9720,8,2013,0,0,0,0,0,0,0
355,356,3,2,8970,12,2007,1,22,2012,2,5,8,11
356,357,0,0,2060,10,2008,0,0,0,0,0,0,0
357,358,0,0,2890,10,2003,0,0,0,0,0,0,0
358,359,3,2,4370,1,1990,0,0,0,0,0,0,0
359,360,0,0,2040,6,2007,0,0,0,0,0,0,0
360,361,2,2,4490,5,2014,1,5,2013,2,5,8,11
361,362,2,2,340,1,1990,0,0,0,0,0,0,0
362,363,0,0,250,9,2009,0,0,0,0,0,0,0
363,364,0,2,13620,1,1990,1,10,2014,3,6,9,12
364,365,2,0,2410,1,1990,1,45,2009,2,5,8,11
365,366,3,2,6470,12,2004,0,0,0,0,0,0,0
366,367,3,2,2640,9,2012,0,0,0,0,0,0,0
367,368,3,2,1450,4,2005,1,45,2009,2,5,8,11
368,369,3,2,5870,4,2014,0,0,0,0,0,0,0
369,370,3,0,8250,10,2000,1,31,2009,1,4,7,10
370,371,3,2,1970,7,2009,1,45,2014,2,5,8,11
371,372,3,2,4880,8,2010,1,18,2014,1,4,7,10
372,373,3,2,11120,1,1990,1,22,2012,1,4,7,10
373,374,0,0,1150,9,2007,0,0,0,0,0,0,0
374,375,0,2,15710,2,2013,1,37,2009,1,4,7,10
375,376,0,0,160,8,2012,0,0,0,0,0,0,0
376,377,0,2,100,6,2010,1,18,2010,2,5,8,11
377,378,0,2,2140,8,2012,0,0,0,0,0,0,0
378,379,3,0,6630,1,1990,0,0,0,0,0,0,0
379,380,0,0,2240,5,2013,1,10,2014,3,6,9,12
380,381,0,0,1800,11,2006,1,5,2013,2,5,8,11
381,382,2,2,26130,11,2002,0,0,0,0,0,0,0
382,383,0,2,350,1,1990,0,0,0,0,0,0,0
383,384,0,2,130,1,1990,1,14,2011,1,4,7,10
384,385,3,0,4580,9,2007,0,0,0,0,0,0,0
385,386,3,2,1460,4,2014,1,31,2013,1,4,7,10
386,387,2,0,210,1,1990,1,36,2013,3,6,9,12
387,388,0,0,2260,1,1990,0,0,0,0,0,0,0
388,389,0,2,6690,8,2011,0,0,0,0,0,0,0
389,390,0,2,1600,4,2009,0,0,0,0,0,0,0
390,391,0,0,460,11,2014,1,31,2013,2,5,8,11
391,392,0,0,2120,1,1990,0,0,0,0,0,0,0
392,393,3,2,4820,3,2008,0,0,0,0,0,0,0
393,394,3,0,10850,1,1990,0,0,0,0,0,0,0
394,395,0,0,3620,2,2013,0,0,0,0,0,0,0
395,396,0,2,23130,1,1990,0,0,0,0,0,0,0
396,397,0,2,130,1,1990,1,27,2013,2,5,8,11
397,398,2,2,1540,1,1990,1,1,2012,1,4,7,10
398,399,0,0,5360,9,2012,1,40,2011,1,4,7,10
399,400,0,0,70,11,2004,1,14,2011,1,4,7,10
400,401,0,2,9200,10,2009,1,14,2012,1,4,7,10
401,402,2,2,5830,9,2011,1,13,2010,1,4,7,10
402,403,0,0,4970,7,2015,0,0,0,0,0,0,0
403,404,0,2,1420,1,1990,1,10,2013,3,6,9,12
404,405,0,0,1080,4,2008,1,14,2011,1,4,7,10
405,406,3,2,8240,3,2001,1,10,2013,2,5,8,11
406,407,0,0,5890,10,2003,1,14,2011,2,5,8,11
407,408,2,0,1560,1,1990,1,45,2009,2,5,8,11
408,409,3,2,840,1,1990,1,1,2013,1,4,7,10
409,410,2,0,40,11,2011,1,22,2012,3,6,9,12
410,411,3,2,8460,1,1990,0,0,0,0,0,0,0
411,412,3,2,4460,1,1990,1,39,2010,1,4,7,10
412,413,0,2,760,9,2014,0,0,0,0,0,0,0
413,414,3,2,6210,1,1990,1,1,2013,1,4,7,10
414,415,3,2,6910,4,2005,0,0,0,0,0,0,0
415,416,0,2,4650,6,2014,0,0,0,0,0,0,0
416,417,0,2,840,1,1990,1,10,2014,1,4,7,10
417,418,0,0,1060,5,2009,1,27,2011,2,5,8,11
418,419,2,0,1620,9,2009,0,0,0,0,0,0,0
419,420,3,2,250,1,1990,1,27,2012,1,4,7,10
420,421,2,2,3530,6,2012,1,35,2012,3,6,9,12
421,422,0,2,2880,1,1990,0,0,0,0,0,0,0
422,423,1,0,1270,5,2014,0,0,0,0,0,0,0
423,424,3,2,1250,1,1990,1,40,2011,1,4,7,10
424,425,3,2,1460,1,1990,0,0,0,0,0,0,0
425,426,0,0,250,1,1990,0,0,0,0,0,0,0
426,427,0,2,70,7,2005,1,13,2010,1,4,7,10
427,428,3,0,2960,12,2014,1,23,2015,3,6,9,12
428,429,3,2,16350,7,2005,1,31,2013,1,4,7,10
429,430,3,2,12870,10,2008,0,0,0,0,0,0,0
430,431,3,2,4520,1,1990,0,0,0,0,0,0,0
431,432,0,0,810,5,2013,0,0,0,0,0,0,0
432,433,0,2,30030,11,2010,0,0,0,0,0,0,0
433,434,0,0,13020,8,2003,1,40,2014,1,4,7,10
434,435,0,0,910,1,1990,0,0,0,0,0,0,0
435,436,3,0,2300,1,1990,0,0,0,0,0,0,0
436,437,2,2,430,1,1990,1,50,2010,1,4,7,10
437,438,3,2,1110,1,1990,1,40,2012,1,4,7,10
438,439,0,0,1350,9,2009,0,0,0,0,0,0,0
439,440,3,0,3900,4,2005,1,45,2009,2,5,8,11
440,441,3,0,2530,1,1990,0,0,0,0,0,0,0
441,442,2,0,500,1,1990,1,45,2009,2,5,8,11
442,443,3,0,11400,12,2005,0,0,0,0,0,0,0
443,444,2,0,1700,11,2009,0,0,0,0,0,0,0
444,445,0,0,240,1,1990,0,0,0,0,0,0,0
445,446,0,0,340,10,2000,1,31,2013,2,5,8,11
446,447,0,2,1510,9,2013,0,0,0,0,0,0,0
447,448,0,2,3970,9,2009,0,0,0,0,0,0,0
448,449,0,2,120,12,2014,1,37,2009,1,4,7,10
449,450,2,0,5780,11,1994,1,10,2014,3,6,9,12
450,451,0,0,2460,4,2009,1,13,2010,1,4,7,10
451,452,0,2,1850,8,2013,1,5,2011,2,5,8,11
452,453,0,2,75860,1,1990,0,0,0,0,0,0,0
453,454,0,0,26450,1,1990,0,0,0,0,0,0,0
454,455,3,2,7660,9,2010,0,0,0,0,0,0,0
